 count, option , default , type , help 
1, ['--evalptclqual'] , False , None , Evaluates the particle-map agreement using the refine_xx folder name. This may be used to identify bad particles. 
1, ['--evalsize'] ,-1, int , Box size for the projections for evaluation. 
1, ['--evenoddmerge'] , False , None ," with --orientedparticles, if cls_result_xx is specified, will include both _even and _odd particles in the output. "
1, ['--exclude_bad'] , False , None , Don't generate output for any particles marked as exclude 
1, ['--exclude_edges'] , False , None , Don't generate output for any particles extending outside the micrograph 
1, ['--exclude_extremes'] , False , None ," Default=False. Will exclude images with a mean value 3 standard deviations away from the ""mean of means"" of all images. "
1, ['--excludeedge'] ,0, float ," Integer number of pixels away from the edge of each image in the tilt series to not extract particles from. For example, if you specify 100, and the images are 4096x4096 pixels, any particle with its center lying between 0 and 200 or 3896 and 4096 will nto be extracted. "
1, ['--excludeedges'] , False , None , Ignore 'excedent' (smaller than the width of a strip) at the edge of micrographs after dividing them into strips. 
1, ['--exclusive_class_min'] ,0, int ," Default=0.0 (not used). The minimum multiplicity (number of particles that went into an average) to look for mutually exclusive classes/averages. Two classes are mutually exclusive when non of the members in one are present in the other. In HAC (hierarchical ascendant classification or ""all vs all"" alignments, classes MERGE, so a class from a later round will be composed of classes from earlier rounds. Some classes remain un-merged for many rounds. If set, this parameter will extract classes with a minimum number of particles (from whatever round/iteration they were generated in) whose members are not present in any other of the extracted classes. The mutually exclusive classes will be put into a separate sub-directory starting with the character 'me_classes'. "
1, ['--exlist'] , None , str , Specify the name of a file with a list of images to exclude in creation of virtual stacks. Please see source for details. 
1, ['--export_whole_project'] , False , None ," This option will create an emx directory, where it will export the eman2 project into EMX format "
1, ['--ext'] , hdf , str , Save frames with this extension. Default is 'hdf'. 
1, ['--extractboxes'] , False , None , Extracts box locations from the image header to produce a set of .box files for only the particles in the .lst files 
1, ['--extractkey'] , None , str ," This will extract a single named value from each specified file. Output will be multicolumn if the referenced label is an object, such as CTF. "
1, ['--extractorientptcl'] , None , str ," Extracts the particles from a refinement with per-particle orientation information. If HDF output, will store as xform_align3d in header. "
1, ['--extractplots'] , False , None ," If a database contains sets of plots, such as bdb:refine_xx#convergence.results, this will extract the plots as text files. "
1, ['--extractspt'] , False , None , This will extract the parameters from a particle_parms JSON file in SPT projects as a multicolumn text file. 
1, ['--famps'] ,1, float ," fraction of Fourier amps to exclude from recons. 0 means that this option is not used, default=0.0 "
1, ['--fbeaut'] , False , None , (T/F)Apply extra real space symmetry averaging and masking to beautify final map prior to output 
1, ['--featurename'] ,  , str , name of the current feature to extract 
1, ['--ffilt'] , False , None , (T/F)Apply Single Particle Wiener filter to final reconstruction 
1, ['--fftavg'] , None , str , Incoherent Fourier average of all images and write a single power spectrum image 
1, ['--filefilt'] , None , str , Only processes image stacks where the filename contains the specified string. Mostly used for debugging. 
1, ['--fillangle'] ,0, float , An angular range used for both alt & az over which the projection should be averaged. Generally the angular step used when making projections. 
1, ['--fillimage'] ,  , str ," the iamge to use to fill in the missing wedge of the images in --input. Ideally, this is the average of the aligned images in --input, or the reference the images in --input were aligned to. "
1, ['--fillwithnoise'] , False , None , this will fill the missing wedge with gaussian noise. --matchto will be turned on by default if this option is supplied. 
1, ['--fillzero'] , False , None ," Checks the existing output file, and fills only matrix elements which are exactly zero. "
1, ['--filt'] , None , str , Only include dictionary names containing the specified string 
1, ['--filter'] ,0, int ," Resolution (integer, in Angstroms) at which you want to apply a gaussian lowpass filter to the tomogram prior to loading it for boxing "
1, ['--filterout'] , False , None , Filters output particles to match projections 
1, ['--filtexclude'] , None , str , Exclude dictionary names containing the specified string 
1, ['--finalstage'] , False , None ," Assume that existing preliminary particle classifications are correct, and only recompute final local orientations "
1, ['--firstfitglobal'] , False , None , Default=False.   Supplying this option will tile the entire image first (for each tilt angle) and find the average   defocus. Then it will use that value to provide an educated 'guess' during stripe-by-stripe    fitting for each image. 
1, ['--fixbadpixels'] , False , None ," Tries to identify bad pixels in the dark/gain reference, and fills images in with sane values instead "
1, ['--fixed'] , None , str , Same as --edgefile. 
1, ['--fixnegbg'] , False , None , Will perform a final background correction to avoid slight negative values near zeroes 
1, ['--flcf'] , False , None , use slower aligner (experimental) 
1, ['--flip'] , False , None , Flip the tomogram by rotating the tilt axis. need --load existing alignment 
1, ['--fourier'] , False , None , gradient descent in fourier space 
1, ['--frac'] , None , str ," Processes a fraction of the data, used automatically by --threads. <n>,<ntot> "
1, ['--frames'] , False , None , Write corrected stack of frames. 
1, ['--framexsize'] ,0, int ," This correspond to the X   size in pixes of the images/frames in the raw tilt series; that is, the size of the entire frame   along the X axis (perpendicular to the direction of the tilt axis in the aligned tilt series).   It is used to calculate the distance of each particle (subtiltseries) to the tilt axis, since   this will induce different shifts in defocus in 3-D for the actual particles. Particles   right at the tilt axis don't move ""up"" or ""down"" as they are tilted.   This MUST be provided if --subtiltsdir is provided.   Othwerwise, it will be read from the header of the images provided. "
1, ['--from_trained'] , None , str , Train from an existing network 
1, ['--fsctxt2xml'] , FSC Plot , str ," Convert the input text FSC file into an xml file. The value provided is the title of the graph. For example: --fsctxt2xml=""My Graph Title"" "
1, ['--fscxml2txt'] , False , None , Convert the input XML FSC file into a text file 
1, ['--fstat'] , False , None ," (T/F)Calculate additional statistics in resolution table at end (QFACT, SSNR, CC, etc.). T Uses more than 50 percent more memory. "
1, ['--full'] , False , None , Apply non-crystallographic symmetry to obtain 'full' structure. 
1, ['--fullcov'] , False , None ," Assume the input particles covers most of the orientation of the model. This gives better performance when the model is relatively feature-less, but is more likely to fail when there are incorrect particles in the input. "
1, ['--fullrange'] , False , None , A specialized flag that disables auto contrast for the display of particles stacks and 2D images only. 
1, ['--gain_darkcorrected'] , False , None , Do not dark correct gain image. False by default. 
1, ['--gainrefs'] ,  , None , Specify a comma separated list of gain refereence stacks/images to import. Files will be placed in movierefs_raw. See --importation for additional options. 
1, ['--gamma'] ,0, float , gamma in imagic convention. 
1, ['--gauss_autoboxer'] , None , str , Name of autoboxed file whose autoboxing parameters (obtained via some previous run of Gauss autoboxer via the GUI) should be used for automatic boxing. 
1, ['--goldsize'] ,30, float , Diameter (in pixels) of gold fiducials to erase. 
1, ['--goldstack'] ,  , str , Name of the stack containing a few gold particles picked from the tomogram. 
1, ['--goldstandardoff'] , False , None ," Default=False. This will PREVENT splitting the dataset provided through --input into two groups, and the entire dataset will be refined together. If this parameter is NOT supplied (and thus the refinement is 'gold standard') and --ref is supplied, two copies of the reference will be generated and randomphase-lowpass filtered to the resolution specified through --refrandphase. "
1, ['--goldthreshtomo'] , False , None , Zero out all densities above mean of max and min. 
1, ['--goodali'] , False , None , Average of good aligned frames. 
1, ['--gpus'] ,-1, str ," default=-1 (all available GPUs will be used). To select specific GPUs to use, provide them as a comma-separated list of integers. "
1, ['--gradin'] ,  , str , reading from gradient output instead of recomputing 
1, ['--gradout'] ,  , str , gradient output 
1, ['--greyscale'] , False , None , Is the reference map in greyscale? 
1, ['--gridding'] , False , None , Use a gridding method for rotation operations on particles. Requires particles to be square. 
1, ['--gridholesize'] ,1, float ," Default=1.0. Size of the carbon hole in micrometers for the simulated grid (this will determine the shifts in defocus for each particle at each tilt angle, depending on the position of the particle respect to the tilt axis; the tilt axis by convention goes parallel to Y through the middle of the tomogram. "
1, ['--gridoffset'] ,  , str ," x,y amount of pixels to translate the cylindrical mask if the carbon hole in your tomogram is off center.          The left bottom corner would be 0,0. Supply this parameter only if also supplying          --mask and the grid hole is not centered in the tomogram. "
1, ['--gridradius'] ,0, int , Radius of the grid in pixels. Supply this parameter only if also supplying --mask. 
1, ['--groups'] ,1, int ," Default=0 (not used; data not split). This parameter will split the data into a user defined number of groups. For purposes of gold-standard FSC computation later, select --group=2. "
1, ['--guess'] , False , None , Guess how to split micrographs into tilt series and the order of images in each tilt series from file names. Tilt angles must be incuded in file names. May and may not work depending on the file name format... 
1, ['--hacref'] ,0, int , WARNING: MIGHT BE BUGGY OR NOT WORKING. Mulst supply references through --ref. Default=0 (not used by default). Size of the SUBSET of particles to use to build an initial reference by calling e2spt_hac.py which does Hierarchical Ascendant Classification (HAC) or 'all vs all' alignments. 
1, ['--headertransform'] , None , int ," This will take the xform.align2d header value from each particle, and apply it. Pass 0 to perform the transform or 1 to perform the inverse. "
1, ['--healpix'] ,7.5, str , Angular Sampling Interval (Degrees) 
1," ['--helix-coords', '-X'] ", None , str ," Save coordinates for helices to the file specified, which will have the EMAN1 *.box format:   x1-w/2        y1-w/2        w        w        -1                    x2-w/2        y2-w/2        w        w        -2 "
1," ['--helix-images', '-x'] ", None , str , Save images of the helices. The file name specified will have helix numbers added to it. 
1," ['--helix-length', '-l'] ",-1, int , Helix length in pixels. Normally each filament can be an arbitrary length. This forces all new helices to a fixed size. 
1," ['--helix-width', '-w'] ",-1, int , Helix width in pixels. Overrides widths saved in the database or in an input file. 
1, ['--helixfile'] , None , str , Start with existing secondary structure. 
1, ['--helixlength'] ,16.2, float , helix length om angstroms 
1, ['--het'] , False , None , Include HET atoms in the map 
1, ['--heter'] , False , None , heterogeneity analysis. 
1, ['--highpasspix'] ,0, int , Default=0 (not used). Number of Fourier pixels to apply highpass filter at. The processor used is filter.highpass.gauss. 
1, ['--highpasspixels'] ,4, int , Default=4. Number of Fourier pixels to zero out during highpass filtering AFTER reconstruction (postprocessing). Provide 'None' or '0' to disactivate. 
1, ['--hires'] , False , None , Perform CTF processing for projects targeting 2-6 A resolution 
1, ['--hist'] , False , None , Data file(s) should be plotted as a histogram rather than displayed in 2-D. 
1, ['--hp'] ,-1, float ," Apply a high-pass filter at the specified resolution when generating projections. Specify as resolution in A, eg - 100 "
1, ['--iconpreproc'] , False , None ," default=False. If on, this will trigger a call to ICONPreProcess on the .st file supplied through --tiltseries. "
1, ['--icosahedral_symmetry'] , False , None , Does it have icosahedral symmetry? 
1, ['--idx'] ,-1, int , index for an image in a stack 
1, ['--idxcache'] , False , None , Ignored. Present for historical reasons. 
1, ['--imagestem'] ,  , str ," Default=None. If the images to apply ctf correction on are already unstacked and are individual mrc files, supply a common string to all of them. "
1, ['--imask'] , None , int , Inside mask radius 
1, ['--imem'] ,1, str ," Memory Usage: 0 - Least Memory, 3 - Most memory "
1, ['--img2match'] ,  , str , Path to the image or stack of images which --img2process will match after processing. Not compulsory if --apix is provided. 
1, ['--img2process'] ,  , str ," Path to the stack    that needs to be processed to match img2match. If you want to process multiple stacks    or files, just separate them by commas --imgs2process=vo1.mrc,vol2.hdf,file.pdb "
1, ['--imod_rotflipgain'] ,0, int ," Rotates the gain 90 degress counter clockwise X times. If value is greater than 3, gain image is flipped about the y axis before rotation. "
1, ['--import_boxes'] , False , None , Import boxes 
1, ['--import_eman1'] , False , None , This will import a phase-flipped particle stack from EMAN1 
1, ['--import_emx'] , None , str , Import emx information and corresponding micrographs 
1, ['--import_movies'] , False , None , Import DDD movies 
1, ['--import_particles'] , False , None , Import particles 
1, ['--import_tiltseries'] , False , None , Import tiltseries 
1, ['--import_tomos'] , False , None , Import tomograms for segmentation and/or subtomogram averaging 
1, ['--importation'] , copy , None ," Specify import mode: move, copy or link "
1, ['--importctffind3'] , False , None , Import ctffind3 data? 
1, ['--importctffind4'] , False , None , Import ctffind4 data? 
1, ['--importrelionstar'] , False , None , Import CTFFIND3 data in Relion STAR format. Put STAR files in 'ctffind3' folder 
1, ['--includeprojs'] , False , None ," If specified with --evalptclqual, projections will be written to disk for easy comparison. "
1, ['--incomplete'] ,0, int , The degree of incomplete allowed in the tree on each level 
1, ['--indir'] , . , str , Directory containing micrographs to be processed. 
1, ['--info'] , False , None ," If this is specified, information on the PDB file is displayed, no conversion is performed. "
1, ['--infodir'] ,  , str ," Folder typically produced by e2evalimage.py or previous runs of this program containing info.json files, one per tilt image in a tilt series. Each .json file should contain the fitted ctf and all associated parameters for each tilt image. "
1, ['--init'] , False , None , Initialize the output matrix file before performing 'range' calculations 
1, ['--initial'] , None , str ," File containing starting class-averages. If not specified, will generate starting averages automatically "
1, ['--inixforms'] ,  , str , Default=None. .json file containing a dict of transform to apply before reference generation 
1, ['--inplaneang'] , None , float , In-plane angular sampling 
1, ['--input_set'] , None , str ," Normally the set used to create the class-averages is used as input. Use this with another version of the same set of particles, for example '__ctf_flip_proc' instead of '__ctf_flip'  "
1, ['--inputaliparams'] ,  , str , Default=None. .json file containing a dict of transforms to apply to 'pre-align' the particles. 
1, ['--inputavg'] , None , str , Optional file containing alternate version of the particles to use for reconstruction after alignment 
1, ['--inputdir'] ,  , str , Alternative to --input and --inputstem. Path to a directory containing individual subtiltseries stacks. 
1, ['--inputstring'] , .mrc , str ," default=.mrc. String common to all images to be processed. E.g., with '.mrc' as the default, all files in the directory ending in '.mrc' (or containing this as part of the filename) will be analyzed. "
1, ['--intensitycorrection'] , False , None , (T/F)Perform intensity-scale corrections on image groups? 
1, ['--interlv'] , None , str , Specifies a 2nd input file. Output will be 2 files interleaved. 
1, ['--interp'] ,0, str ," Type of interpolation: 0 - Nearest Neighbor, 1 - Trilinear Interpolation (More Time-Consuming) "
1, ['--invert_gain'] , False , None , Use reciprocal of input gain image 
1, ['--invertangles'] , False , None ," Default=False. If True, this will multiple all angles by -1, in case the directionality is messed up. "
1, ['--inverttemplate'] , False , None , Multiply --template subsections by -1 to invert the contrast BEFORE looking for particles. 
1, ['--inverttomo'] , False , None , Multiply --tomogram subsections by -1 to invert the contrast BEFORE looking for particles. 
1, ['--iterations'] ,1, int , Iterations 
1, ['--itermask'] , None , str ," Used in iterative mode to define a mask to apply between iterations. The resulting reconstruction won't be masked per-se, but will be biased towards lower densities outside the mask. "
1, ['--iters'] ," p,p,p,t,r,p,r,d ", str ," iterations. Types of refinement separated by comma. p - 3d particle translation-rotation. t - subtilt translation. r - subtilt translation-rotation. d - subtilt defocus. Default is p,p,p,t,r,p,r,d "
1, ['--json'] ,1, int ," If writing output pdb, also write JSON metadata. Default: 1. Options: 0, 1 "
1, ['--jsonali'] ,  , str , re-extract particles using a particle_param_xx json file from a spt alignment 
1, ['--jsonortcmp'] , False , None , Compare the particle orientations from two .json files. Provide the path to 2 json files as arguments to the command. 
1, ['--k2'] , False , None ," Perform gain image correction on gain images from a Gatan K2. Note, these are the reciprocal of typical DDD gain images. "
1, ['--kboot'] ,16, int , kboot 
1, ['--keep3d'] , False , None , Keep all of the individual 3-D models used to make the variance map. This make take substantial disk space. 
1, ['--keepdust'] , False , None , Do not remove 'dust' from mask (include objects smaller than gold fiducials). 
1, ['--ksize'] ," 15,15,15 ", str ," Width of kernels of each layer, the numbers must be odd. Note the number of layers should be the same as the nkernel option.  "
1, ['--layers'] ,2, int ," number of 1 pixel layers about the center to use for the projection in each direction (size in reduced image if --shrink used), ie 0->1, 1->3, 2->5. Default=2 "
1, ['--limit_tilt'] ,-91, int ," Limited tilt angle: positive for keeping side views, negative for keeping top views "
1, ['--listkeys'] , False , None , Lists all of the keys in all of the specified info files 
1, ['--listoptions'] , False , None , List all currently set user application preferences 
1, ['--listsel'] , None , str , only reconstruct particles of indices from the given list 
1, ['--loadmodule'] ,  , str , load module 
1, ['--localnorm'] , False , None , local normalization. do not use yet.... 
1, ['--localsizea'] ,50, int , Size in Angstroms of the local region to compute the resolution in 
1, ['--long'] , False , None , Long listing 
1, ['--lores'] , False , None , Perform CTF processing for projects targeting 15-30 A resolution 
1, ['--low'] , False , None , low level test 
1, ['--lowpassfrac'] ,0, float , Default=0.0 (not used). Fraction of Nyquist to lowpass at. The processor used is filter.lowpass.tanh 
1, ['--lowpassresolution'] ,100, float , Default=100. Resolution in angstroms to lowpass filter the tomogram AFTER reconstruction (postprocessing). Type 'None' or '0' to disactivate. 
1, ['--lp'] ,-1, float ," Apply a low-pass filter at the specified resolution when generating projections. Specify the resolution in A, eg - 25 "
1, ['--lrdecay'] ,1, float , Learning rate multiplier after each iteration. 
1, ['--m3diter'] ,4, int , The number of times the 3D reconstruction should be iterated 
1, ['--m3dold'] , False , None , Use the traditional e2make3d program instead of the new e2make3dpar program 
1, ['--makevstack'] , None , str ," Creates a 'virtual' BDB stack with its own metadata, but the binary data taken from the (filtered) list of stacks "
1, ['--mapfile'] , None , str , Density map file 
1, ['--mapfragment'] , False , None , Generate initial maps by randomly removing portions of the input map rather than by phase randomizing. 
1, ['--mapthresh'] ,0, float ," Density threshold, bonds on density lower than threshold is not prefered "
1, ['--mapweight'] ,1000, float ," Weight of density, to balance between geometry and density score "
1, ['--maskbyangle'] , False , None , Default=False. Requires --tltfile. This will mask out from tilted images the info that isn't present at the 0 tilt angle. It uses the tomo.tiltedgemask processor (type 'e2help.py processors' at the commandline to read a description of the processor and its parameters). Provide --maskbyanglefalloff and --maskbyanglesigma to modify the default parameters. 
1, ['--maskbyanglefalloff'] ,4, int , Default=4. Number of pixels over which --maskbyangle will fall off to zero. 
1, ['--maskbyanglesigma'] ,2, float , Default=2.0. Number of sigmas for the width of the gaussian fall off in --maskbyangle and --maskbyanglefalloff 
1, ['--masked'] , False , None ," If specified, each output subparticle will be masked based on the projection mask. Recommended. "
1, ['--maskfoff'] ,0.1, float ," Fall offf of the Gaussian mask, default=0.1 "
1, ['--maskproc'] , None , str ," Default=none. If specified, this mask will be performed after the built-in automask, eg - mask.soft to remove the core of a virus "
1, ['--maskrad'] ,-1, int ," Mask the recon using a spherical Gaussian mask (-1 = None), default=-1.0 "
1, ['--maskref'] , None , str , File containing the reference to compare the masked volumes with (required with --mask) 
1, ['--maskzeroes'] , False , None ," (T/F) For individual particles, the area outside a circle with the radius of the particle will be set to zeros prior to taking the Fourier transform "
1, ['--massthresh'] ,20, float , Threshold of total mass of each continous object to be considered a particle.  
1, ['--match'] , None , str , Only include dictionaries matching the provided Python regular expression 
1, ['--matchto'] , False , None , this will match the power spectrum of each image in --input to that --fillimage so that things are properly normalized. 
1, ['--matrix'] ," 0,0,0,0,0,0,0,0,0,0,0,0 ", str , transform matrix. 
1, ['--maxbad'] ,2, int , Maximumum number of unassigned helices 
1, ['--maxbfactor'] ,5000, float , Files with a B-factor higher than specified will be skipped 
1, ['--maxboxsz'] ,64, int , maximum fourier box size to use. 2 x target Fourier radius.  
1, ['--maxmemory'] , None , float , Maximum memory (in GB) available for each thread 
1, ['--maxmergenum'] ,0, int ," Default=0 (which means this option is off by default and not used). This is the maximum number of particles ('multiplicity') that any two given averages can have to be allowed to merge. For example, if at some point (some given iteration in the algorithm) a particular average ""A"" is an average of 10 particles, and --maxmergenum=8, this average ""A"" will only be allowed to merge with other averages that have 8 particles or less in them. This maintains ""big classes"" in a mutually exclusive state. For example, if --maxmergenum=1, particles will merge pair-wise in the first round; but after that averages with more than one particle will NOT merge each other, because they will contain 2 or more particles, which exceeds 'maxmergenum'. So in subsequent iterations, the averages formed in the first iteration will continue to take up raw particles or new averages (between single raw particles) might emerge; but ""large averages"" never inter-merge "
1, ['--maxpairerr'] ,10, float ," Maximum error match between pairs of helices, default=50 "
1, ['--maxtiltangle'] ,180, float , Maximum tiltangle permitted when finding tilt distances 
1, ['--mc2_flipgain'] ,0, int ," A value of 1 flips gain image vertically, 2 flips gain image horizontally. Default is 0. "
1, ['--mc2_patchX'] , None , int ," Use this many patches along X with MotionCor2. Default is 1, i.e. whole-frame alignment. "
1, ['--mc2_patchY'] , None , int ," Use this many patches along Y with MotionCor2. Default is 1, i.e. whole-frame alignment. "
1, ['--mc2_rotgain'] ,0, int , Rotates the gain 90 degress counter clockwise X times. Rotation is applied before flipping. 
1, ['--mean1'] , False , None ," Indicates that the first image in the basis set is actually the mean image, which should be subtracted prior to projection. Output from e2msa requires this flag. "
1, ['--mergeeo'] , False , None , Merge even odd lst. 
1, ['--mergelowres'] ,-1, float , merge low resolution information of the two subset. 
1, ['--mergesort'] , None , str , Specify the output name here. This will merge all of the input .lst files into a single (resorted) output 
1, ['--micsuffix'] ,  , str ," A string denoting micrograph type. For example 'mrc', 'hdf', 'ser' ... "
1, ['--midinput'] , None , str , middle layer input 
1, ['--midout'] ,  , str , middle layer output 
1, ['--midres'] , False , None , Perform CTF processing for projects targeting 7-15 A resolution 
1, ['--minbfactor'] ,0, float , Files with a B-factor lower than specified will be skipped 
1, ['--mindist'] ,10, float , minimum distance between particles in A. for reextraction only 
1, ['--minhelix'] ,6, int , Minimum residues in a helix 
1, ['--mininclass'] ,2, int , Try to eliminate classes with fewer than specified members. Default=2 
1, ['--minproj'] ,1, int ," Minimum number of projections/images in a class average, for a class average to be used for a reconstruction, default=auto "
1, ['--minrespx'] ,4, int , skip the first x pixel in fourier space 
1, ['--minscore'] ,0, float ," Default=0.0 (which means this option is off by default and not used). Percent of the maximum score to use as a threshold for the minimum score to allow. For example, if the best pair in the first iteration yielded a score of -15.0, and you supply --minscore=0.9, any pair-wise alignments with a score worse than -15*0.9 = -13.5 will be forbidden. Remember that 'more negative' is 'better' in EMAN2. "
1, ['--mintiles'] ,0, int , Minimum number of 'good tiles' in strip to consider it. 
1, ['--mirroraxis'] ,  , str ," Options are x or y, and the mirrored copy of the 2-D images will be generated before being put into the tilt series. "
1, ['--missingonly'] , False , None ," Operates only on images with missing __ctf_flip_invar files, for cases where a previous run failed before completion "
1, ['--modelout'] ,  , str , output trained model file. only used when --projs is provided 
1," ['--models', '--model'] ", None , str ," Comma separated list of reference maps used for classification. If a single map is provided, data will be split into two groups based on similarity to the single map. "
1, ['--models'] , None , str , The map to use as a starting point for refinement 
1, ['--moretile'] , False , None ," Sample more tiles during reconstruction. Slower, but reduce boundary artifacts when the sample is thick "
1, ['--moverawdata'] , False , None , Move raw data to directory ./raw_micrographs after filtration 
1, ['--MPI'] , False , None , use MPI version 
1, ['--mraprep'] , False , None , this is an experimental option 
1, ['--mrc16bit'] , False , None ," (deprecated, use --outmode instead) output as 16 bit MRC file "
1, ['--mrc8bit'] , False , None ," (deprecated, use --outmode instead) output as 8 bit MRC file "
1, ['--multicmp'] , False , None , If set will apply a range of different comparators to the aligned particle data and generate a multicolumn text file 
1, ['--n1'] ,0, float , n1. 
1, ['--n2'] ,0, float , n2. 
1, ['--n3'] ,0, float , n3. 
1, ['--naliref'] ,5, int , Number of alignment references to when determining particle orientations 
1, ['--nameonly'] , False , None , Only display the matching filenames. No other info. 
1, ['--nameroot'] ,  , str , Prefix of micrographs to be processed. 
1, ['--nbatch'] ,10, int , Number of batches per iteration 
1, ['--nbins'] ,0, int ," Used for histogram plot. Default=0 (not used). Number of bins for histogram. If not provided, the optimal bin number will be automatically calculated based on bin-width, computed using Scott's normal reference rule, width = (3.5*std)/cuberoot(n), where 'std' is the standard deviation of the distribution of scores and n is the number of values considered. Then, bins will be nbins = (max(scores) - min(scores)) / width. "
1, ['--nclass'] ,2, int , Number of classes. Default is 2. 
1, ['--ncmult'] ,1.05, float , Specify how much to multiply noise cutoff during flattening amplitude correction. Default is 1.05. 
1, ['--nearest_neighbor'] , False , None , Perform nearest-neighbor instead of linear Fourier-space interpolation 
1, ['--negativetiltseries'] , False , None ," This indicates that the tilt series goes from -tiltrange to +tiltrange, or 0 to -tiltrange, then +tiltstep to +tiltrange if --bidirectional is specified. "
1, ['--nenrich'] ,54, int , Number of additional particles to average with each particle. Default=5 
1, ['--nettag'] ,  , str , Tag of the output neural net file. Will use the tag of good particles in training set by default. 
1, ['--new'] , False , None , new pipeline format 
1, ['--newbox'] ,-1, int , New box size for extracted regions 
1, ['--newlabel'] ,  , str , Label of output particles. Same as original particle label by default. 
1, ['--newwidget'] , False , None , Use the new 3D widgetD. Highly recommended!!!! 
1, ['--nframe'] ,5, int , number of frames in the trajectory 
1, ['--nframes'] ,0, int ," default=0 (not used). Number of expected frames per tilt angle, used to check whether errors occur in the stacking of images. "
1, ['--ninput'] ,0, int , Number of input particles to read (first n in the file) 
1, ['--niters'] ,4, int , Run this many iterations. Default is 4. 
1, ['--nkernel'] ," 40,40,1 ", str ," Number of kernels for each layer, from input to output. The number of kernels in the last layer must be 1.  "
1, ['--nmid'] ,4, int , size of the middle layer 
1, ['--nnet'] , None , str , Trained network input (nnet_save_xx.hdf) 
1, ['--no_ctf'] , False , None , Disable CTF determination 
1, ['--nocache'] , False , None , Don't use the database cache for this operation 
1, ['--nocolor'] , False , None ," Turns the ouput png(s) into grey scale figures. Instead of using different colors to distinguish between various curves on the same plot, this option will have the program automatically use different markers in black and white for each curve. "
1, ['--nocomments'] , False , None , Removes the comments from each line of the lst file. 
1, ['--noctf'] , False , None , skip ctf correction. 
1, ['--noderef'] , False , None ," If particle file was .lst, normally the output .lst will reference the original image file. With this option, the output will reference the .lst file instead, creating a lst pointing to another lst. "
1, ['--nodes'] , nodes.hdf , str ,  
1, ['--nofullresok'] , False , None , Overrides the requirement that the class-averages be made from _fullres particle images. 
1, ['--nogoldfinal'] , False , None ," If selected, the final iteration will turn off gold-standard behavior and both halves will be refined from the same model. Normally used with --tophat=local. "
1, ['--nogs'] , False , None , Skip gold standard. This is not a great idea... 
1, ['--nogui'] , False , None , Do not launch the GUI and set the average of the missing wedge statistics on all the volumes. 
1, ['--noise'] ,0, float , Add Gaussian Noise 
1, ['--noisemax'] ,-1, float , Maximum resolution to examine for determining the noise parameters. 
1, ['--noisemin'] ,-1, float , Minimum resolution to examine for determining the noise parameters. 
1, ['--nolstout'] , False , None , Skip writting lst output. 
1, ['--nomask'] , False , None , no mask 
1, ['--nomean'] , False , None , Suppress writing the average image as the first output image 
1, ['--nomeansub'] , False , None ," Suppress subtracting the mean from each input image, also implies --nomean "
1, ['--nonewpath'] , False , None ," Default=False. If True, a new --path directory will not be made. Therefore, whatever is sepcified in --path will be used as the output directory. Note that this poses the risk of overwriting data. "
1, ['--nonorm'] , False , None , Suppress per image real-space normalization 
1, ['--nooutliers'] , False , None , will set --range to eliminate a few of the most extreme values from both ends of the histogram 
1, ['--nopad'] , False , None , No padding between boxes 
1, ['--nopreprocprefft'] , False , None ," Turns off all preprocessing that happens only once before alignment (--normproc, --mask, --maskfile, --clip, --threshold; i.e., all preprocessing excepting filters --highpass, --lowpass, --preprocess, and --shrink. "
1, ['--noradcor'] , False , None , Normally a radial correction will be applied based on the --mode used. This option disables that correction. 
1, ['--norandomphase'] , False , None , Suppress independent phase randomization of input map. Only appropriate if input map has been preprocessed in some suitable fashion. 
1, ['--norewrite'] , False , None , skip existing files. do not rewrite. 
1, ['--normavg'] , False , None , Normalize averages 
1, ['--normcomponent'] , False , None ," Normalize the dot product for each component of the output vector. If the basis spans the input vector, then the projected vector length will be 1, otherwise it will be less than 1. "
1, ['--normin'] , normalize.edgemean , str , Apply a real space normalization to each input before FSC. Default normalize.edgemean. Use 'none' to disable. 
1, ['--norticklabels'] , False , None , Disable radius tick labels 
1, ['--nosim'] , False , None ," Default=False. If on, the program will generate stacks of ""perfect particles"" in different random orientations, but with no missing wedge, no noise, no ctf parameters, etc. The output randstack.hdf will be identical to simptcls.hdf "
1, ['--nosingle'] , False , None , Normally the multi-model refinement will be followed by N single model refinements automatically. If this is set the job will finish after making the split data sets. 
1, ['--nosmooth'] , False , None , Disable smoothing of the background (running-average of the log with adjustment at the zeroes of the CTF) 
1, ['--nothetaticklabels'] , False , None , Disable Theta tick labels 
1, ['--notmp'] , False , None , Do not write temporary files. 
1, ['--notrandomize'] , False , None , Default=False. This will prevent the simulated particles from being rotated and translated into random orientations. 
1, ['--nowedgefill'] , False , None , Do not fill the missing wedge before classification. 
1, ['--nozcorrection'] , False , None ," If you    turn on this option and --subtiltsdir is provided, the position in Z of each subtomogram   will not be considered for CTF correction "
1, ['--npk'] ,20, int , Number of landmarks to use (such as gold fiducials). Default is 20. 
1, ['--nptcls'] ,10, int , Default=10. Number of simulated subtomograms to generate per reference model supplied. 
1, ['--npts'] ,-1, int , number of points to initialize.  
1, ['--nsample'] ,2000, int , number of samples 
